record,n_beats,n_valid_beats,poincare_b_mae,drift_norm_mae,energy_asym_mae,poincare_b_spearman,drift_norm_spearman,energy_asym_sign_agreement,saturated_fraction,div_guard_fraction,low_curr_energy_fraction,low_past_energy_fraction,poincare_b_median_abs_error_64,drift_norm_median_abs_error_64,stiffness_proxy_median_abs_error_64,ref_poincare_b_median_64,emu_poincare_b_median_64,ref_drift_norm_median_64,emu_drift_norm_median_64,ref_stiffness_proxy_median_64,emu_stiffness_proxy_median_64,poincare_b_median_abs_error_250,drift_norm_median_abs_error_250,stiffness_proxy_median_abs_error_250,ref_poincare_b_median_250,emu_poincare_b_median_250,ref_drift_norm_median_250,emu_drift_norm_median_250,ref_stiffness_proxy_median_250,emu_stiffness_proxy_median_250,poincare_b_median_abs_error_500,drift_norm_median_abs_error_500,stiffness_proxy_median_abs_error_500,ref_poincare_b_median_500,emu_poincare_b_median_500,ref_drift_norm_median_500,emu_drift_norm_median_500,ref_stiffness_proxy_median_500,emu_stiffness_proxy_median_500
s20021,88920,88920,1.5354059340555448e-05,6.076123592807167e-05,1.5254384421375944e-05,0.999999153854233,0.9999996076493972,1.0,0.012201979307242466,0.0,0.0,0.0,3.864506690209879e-06,4.826456584648697e-05,0.0055177160916262125,0.8974648020066902,0.8974609375,0.10722599894084649,0.107177734375,8.990823738673887,8.985306022582261,1.334874120284546e-05,1.8571195407629526e-05,0.009336393056143422,0.8759021786025472,0.87591552734375,0.09730861025790763,0.0972900390625,9.810810183856416,9.801473790800273,4.7039202455412266e-06,1.5663488535683223e-05,0.0028918496724923415,0.8676804851702455,0.86767578125,0.10777242244896432,0.1077880859375,8.829811236431778,8.826919386759286
s20041,109075,109075,1.538247114529767e-05,6.0975163555453474e-05,1.5296241156148582e-05,0.9999996713299059,0.999980982935599,1.0,0.008489571395828559,0.0,0.0,0.0,1.8941582660358947e-05,4.26509787237947e-05,0.13379717242212763,0.9720343224420354,0.972015380859375,0.026690747458776205,0.0267333984375,38.8572817981904,38.72348462576827,1.809560666976573e-06,1.8743793219845595e-05,0.3439917924592848,0.981290915048708,0.981292724609375,0.015362115581780154,0.015380859375,60.03018485839834,60.37417665085763,5.324993377020526e-06,4.6864812161748204e-05,0.19355770733388056,0.977228561725373,0.97723388671875,0.017287119562838252,0.017333984375,56.00149076807742,55.80793306074354
s20151,76830,76830,1.5243971514089516e-05,6.108366340208942e-05,1.5182590777526594e-05,0.9999999741767057,0.9999529476650285,1.0,0.0005466614603670441,0.0,0.0,0.0,1.0194802308349793e-05,8.83218920920241e-05,0.3033100748302502,0.9896342182398083,0.9896240234375,0.008633243767092024,0.008544921875,118.70070715594059,119.00401723077084,1.2835672094091422e-05,2.0501833336662723e-05,0.4228459391881927,0.9841790588591559,0.98419189453125,0.011617181520836663,0.0115966796875,84.98899459127801,85.41184053046621,1.0872655996641e-05,6.76919805559003e-05,0.49968749556352066,0.9847826011716216,0.984771728515625,0.0108098794805559,0.0107421875,92.53077102575318,92.03108353018966
s30742,113765,113765,1.5286150963134126e-05,6.116347058499061e-05,1.5367571922303425e-05,0.9999999894384403,0.9999190277672563,1.0,1.7580099327561202e-05,0.0,0.0,0.0,4.089408080609758e-06,1.6035176165433984e-05,0.17945199949740243,1.0010416870643306,1.00103759765625,0.011490644551165434,0.011474609375,85.66155506800887,85.48210306851146,9.281549765316477e-06,2.522144268253361e-05,0.2655553255879255,0.9927580524346097,0.992767333984375,0.011815598869817466,0.0118408203125,82.17398326010918,82.43953858569711,2.669228454910133e-05,1.1325351921612908e-05,0.5306052303800612,0.9974708663092009,0.99749755859375,0.010631442539421613,0.0106201171875,92.81521933962966,93.34582457000973
