study_key,domain,source_dataset,entrypoint,final_run_dir,report_path,summary_path,event_count,detected_events,event_detection_fraction,median_lead_value,lead_unit,specificity,sensitivity,precision,alert_occupancy_fraction,notes
cardiac_ltst_transition_hmm,cardiac,ltstdb,"artifact/ltst_full_86_study.py + artifact/ltst_transition_hmm.py",artifact/runs/ltst_full_86_20260405T035505Z/transition_hmm_onset_cooldown32,artifact/runs/ltst_full_86_20260405T035505Z/transition_hmm_onset_cooldown32/ltst_transition_hmm_report.md,artifact/runs/ltst_full_86_20260405T035505Z/transition_hmm_onset_cooldown32/ltst_transition_hmm_summary.csv,8000,7524,0.940500,429.0,beats,0.671026,0.342799,0.427297,0.334743,"Specificity, sensitivity, precision, and occupancy are beat-level lead-aware metrics derived from the completed event and episode tables with a 500-beat pre-event window."
solar_layered_hmm,solar,omni_hro2_1min,solar.py,artifact/runs/solar_20260408T051653Z,artifact/runs/solar_20260408T051653Z/solar_report.md,artifact/runs/solar_20260408T051653Z/solar_layered_summary.csv,589,546,0.926995,279.5,minutes,0.755540,0.362900,0.234918,0.264759,"Specificity, sensitivity, precision, and occupancy come from the minute-level HMM confusion matrix emitted by solar.py."
